~virtuemart_order_id~^~virtuemart_user_id~^~codext~^~company~^~first_name~^~last_name~^~address_type~^~address_type_name~^~order_payment~^~order_subtotal~^~order_tax~^~order_total~^~customer_note~^~created_on~^~modified_on~^~order_shipment~
~49~^~14912~^~1040374~^~GIAMMARIO SRL~^~~^~~^~Billing address~^~~^~0,00~^~1915,70~^~421,45~^~2337,15~^~pagamento 28 febbraio31 marzo30 aprile autorizzatto denis3 espositori omaggiocon antitaccheggio omaggio~^~21/11/2013 18:22:36~^~21/11/2013 18:22:36~^~0,00~
~50~^~14912~^~1040374~^~GIAMMARIO SRL~^~~^~~^~Billing address~^~~^~0,00~^~404,80~^~89,06~^~493,86~^~1 espositore omaggio agiuntivo a quelli precedenti in totale 4 espositori.prezzo delle pellicole € 2,95aggiungere2pz pellicole tab3 7.02pz pellicole tab3 8.02pz pellicole tab3 10.115pz pellicole note33 pz pellicole 3 corby2pz pelicole galaxy trend5pz pellicole xperia ubatteria origianle galaxy ace s5830 bulk~^~21/11/2013 18:57:39~^~21/11/2013 18:57:39~^~0,00~
~51~^~14910~^~1040372~^~DUEDOS D S.A.S~^~~^~~^~Billing address~^~~^~0,00~^~29,00~^~6,38~^~35,38~^~spediro l'aggiunta  dell'ordine successivamente~^~03/12/2013 19:31:51~^~03/12/2013 19:31:51~^~0,00~
~52~^~14914~^~1040376~^~BLOWINDOW~^~~^~~^~Billing address~^~~^~0,00~^~61,00~^~13,42~^~74,42~^~2PZ  M5502p M850PAGAMENTO TUTTO A RB 60FM~^~04/12/2013 18:42:16~^~04/12/2013 18:42:16~^~0,00~
